"playersSeason";"playerID";"WOBA";"SLG";"BA";"ISO";"speedRatio"
5.0;"puntoni01";0.3163153696498055;0.3725;0.2898;0.0828;0.782
2.0;"quentca01";0.40973040421792617;0.5708;0.2875;0.2833;0.5435
0.0;"ramiral03";0.33493466135458166;0.475;0.2896;0.1854;0.6763
6.0;"ramirar01";0.3973253333333333;0.5777;0.3181;0.2596;0.6034
2.0;"ramirha01";0.39791387696709585;0.5618;0.3318;0.23;0.6085
4.0;"ramirjo01";0.3948415625;0.5829;0.3179;0.265;0.5108
6.0;"ramoswi01";0.3614232245681382;0.4959;0.3071;0.1888;0.6824
1.0;"rasmuco01";0.3602749521988528;0.4978;0.2759;0.222;0.5781
3.0;"realmjt01";0.332092347826087;0.4511;0.2782;0.1729;0.6419
8.0;"reddijo01";0.3559141242937853;0.4843;0.3145;0.1698;0.66
4.0;"redmati01";0.29509373913043474;0.3736;0.2802;0.0934;0.7974
1.0;"reedje03";0.2925775510204082;0.3525;0.2541;0.0984;0.6855
7.0;"relafde01";0.2989374087591241;0.376;0.254;0.122;0.685
4.0;"rendoan01";0.3933123539232054;0.5335;0.3012;0.2323;0.5621
7.0;"renteed01";0.36620169753086423;0.4804;0.3305;0.1499;0.6856
4.0;"reverbe01";0.2996606796116505;0.3611;0.3062;0.0549;0.8804
8.0;"reyesjo01";0.3682419130434782;0.4935;0.3371;0.1564;0.7017
2.0;"reynoma01";0.3770151745068285;0.5433;0.2595;0.2837;0.5
8.0;"riosal01";0.35658665620094193;0.5157;0.3041;0.2116;0.6196
3.0;"rivaslu01";0.29944561403508774;0.3811;0.2589;0.1221;0.7317
5.0;"riverju01";0.3757301619433199;0.5246;0.3103;0.2143;0.6403
5.0;"rizzoan01";0.38931332335329333;0.5437;0.2916;0.2521;0.5353
4.0;"roberbr01";0.3792436507936508;0.5152;0.3137;0.2014;0.6023
7.0;"roberda07";0.3277195691202872;0.3928;0.2926;0.1002;0.774
5.0;"roberry01";0.3320809090909091;0.4274;0.249;0.1784;0.6167
13.0;"rodrial01";0.4426687230989957;0.6449;0.3139;0.331;0.5355
8.0;"rolensc01";0.42050630323679733;0.598;0.314;0.284;0.5541
7.0;"rolliji01";0.3670191461836999;0.5307;0.2961;0.2346;0.5849
2.0;"rosared01";0.3509816780821918;0.5074;0.2897;0.2177;0.6051
2.0;"rosarwi01";0.3409038626609442;0.4855;0.2918;0.1938;0.6641
5.0;"rossco01";0.33782519841269837;0.4881;0.2603;0.2278;0.5333
3.0;"rowanaa01";0.3806284090909091;0.5441;0.3101;0.2341;0.5762
1.0;"russead02";0.31606165540540543;0.4171;0.2381;0.179;0.608
3.0;"sanchca01";0.3145388571428572;0.4132;0.2665;0.1467;0.6977
4.0;"sanchfr01";0.35523322632423754;0.4725;0.3436;0.1289;0.695
2.0;"sanchga01";0.3356829153605016;0.4476;0.2727;0.1748;0.6218
2.0;"sanchga02";0.3726507633587786;0.5308;0.2781;0.2527;0.5954
